Date	Day	Tactics	Actors	Target	Event Description	Country	Location	Battle	Duration	Nationalist troops	Nat Arrests	Nat injuries	Nat deaths	Rep troops	Rep arrests	Rep injuries	Rep deaths	Workers	Civilian inj	Civiliandeaths	Source	Date	no event	Source Descriptions
20-Jul-36	Mon	battle	Nationalists	Republicans	Republican planes bomb arsenal	Spain	Barcelona	Barcelona		12000	0	8	0	10000	0	8	3	300001	0	0	Fraser			
20-Jul-36	Mon	battle	Nationalists	Republicans	half the city burned; refugees flee	Spain	Malaga	Malaga		15000	0	8	3	12000	0	8	3	30001	31	3	Fraser			
20-Jul-36	Mon	battle	Nationalists	Republicans	Republicans repulse Nationalist attack	Spain	Gijon	Gijon		1001	0	0	0	200	0	0	0	0	0	0	Fraser			
20-Jul-36	Mon	arson	Republicans	owners	burn property owned by capitalists and by church	Spain	Gijon			0	0	0	0	301	0	0	0	0	0	0	Fraser			
20-Jul-36	Mon	battle	Nationalists	Republicans	Nationalists kill several Republicans in fire fight	Spain	Seville	Seville		180	0	172	3	301	0	3	3	0	0	0	Fraser			
20-Jul-36	Mon	battle	Libertarians	Republicans	Libertarians take a fort from Republicans	Spain	Barcelona	Barcelona		0	0	0	0	8		0	3		0	0	Fraser			
20-Jul-36	Mon	battle	Nationalists	Republicans	Republicans repulse Nationalist attack	Spain	Alfora	Alfora		301	0	8	2	301		0	0		0	0	Fraser			
20-Jul-36	Mon	mobilization	Nationalists	Republicans	mobilize whole village	Spain	Echauri			540	0	0	0	0		0	0		0	0	Fraser			
20-Jul-36	Mon	battle	Nationalists	Republicans	nine-day fire fight	Spain	Baena	Baena		301	0		3	301			6		0	1	Fraser			
20-Jul-36	Mon	arrest	Nationalists	Republicans	arrest Republicans	Spain	Cordoba			1001	0	0	0	0	18	0	0	0	0	0	Fraser			
20-Jul-36	Mon	deployment	Republicans	Nationalists	set up against General Mola in mountain pass	Spain	Somosierra			0	0	0	0	21	0	0	0	0	0	0	Carr			
20-Jul-36	Mon	siege	Republicans	military academy	surround & occasionally shell Alcazar	Spain	Toledo	Alcazar		1000	0	0	1	1001	0	0	0	0	0	0	Jackson			
20-Jul-36	Mon	general strike	workers	Nationalists	declare strike & distribute arms	Spain	Cadiz			0	0	0	0	0	0	0	0	0	0	0	Jackson			
20-Jul-36	Mon	rising	Nationalists	workers	garrison rises; battle ensues; Nationalists take over	Spain	Cadiz	Cadiz	2 hours	301	0	0	0	3001	0	31	8	0	0	0	Jackson			
20-Jul-36	Mon	rising	Nationalists	Republicans	Colonel takes workers' arms & seizes town	Spain	Oviedo	Oviedo		301	0	0	0	0	0	0	0	0	0	0	Jackson			
